"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"White-whiskered Hermit",4,0.666666666666667,1.16532887402453,0.0413322185061316,0.125,0.9,0.4,0.632455532033676,0.466914406044841,1,0.351851851851852,0.41025641025641,0.126984126984127,0.10561908909924,1.59443500979344,0.925701911121967,2.52363900911965,0.546574453331643,0.595486111111111,0.295050224433867
"Brown Inca",2,0.333333333333333,0.671794871794872,-0.164102564102564,0.375,0.942857142857143,0.8,0.7649739768026,0.448433048433048,1.125,0.148148148148148,0.179487179487179,0.119047619047619,0.113321800693304,0.79721883436573,0.529706199057654,1.69843323402318,0.367849844233606,0.425347222222222,0.517972292600333
"Stripe-throated Hermit",3,0.5,1.59239130434783,0.197463768115942,0.25,0.84,0.6,0.564374448853346,0.356884057971014,1.625,0,0,0.0873015873015873,0.077415126669989,1.57579951959953,0.936888307539016,2.55202792428089,0.552722977636768,0.5,0.390611182653835
"Green-crowned Woodnymph",2,0.333333333333333,0.417391304347826,-0.291304347826087,0.5,0.88,0.8,0.661437827766148,0.210869565217391,1.125,0.148148148148148,0.41025641025641,0.119047619047619,0.112298075137711,0.855931944224533,0.661563238157982,1.93781924087838,0.419696513015989,0.59375,0.229578279453496
"Tawny-bellied Hermit",5,0.833333333333333,1.31206800445931,0.0624136008918618,0,0.8,0.2,0.418330013267038,0.539008500557414,1,0.351851851851852,0,0.126984126984127,0.0628789781206364,5.70511385211326,1.38629436111989,4,0.866327476087494,0.5625,0.351441072927727
"Booted Racket-tail",1,0.166666666666667,0.307692307692308,-0.692307692307692,0.625,1,1,1,0.307692307692308,1.625,0,0,0.0873015873015873,0.0748730118522271,0.427945957592403,0,1,0.216581869021874,0.203125,0.550472057346074
"Booted Racketail",1,0.166666666666667,0.2,-0.8,0.75,1,1,1,0.2,1.25,0,0,0.111111111111111,0.0878601520507482,0.525261466517939,0,1,0.216581869021874,0.234375,0.425781374549036
"White-necked Jacobin",1,0.166666666666667,0.2,-0.8,0.875,1,1,1,0.2,1.25,0,0,0.111111111111111,0.0878601520507482,0.525261466517939,0,1,0.216581869021874,0.234375,0.425781374549036
"Purple-bibbed Whitetip",1,0.166666666666667,0.133333333333333,-0.866666666666667,1,1,1,1,0.133333333333333,1.25,0,0,0.111111111111111,0.0600035716411691,0.795926633452104,0,1,0.216581869021874,0.234375,0.310383261682855
