"","White-whiskered Hermit","Brown Inca","Stripe-throated Hermit","Green-crowned Woodnymph","Tawny-bellied Hermit","Booted Racket-tail","Booted Racketail","White-necked Jacobin","Purple-bibbed Whitetip"
"Columnea ciliata",0,0,1,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,4,0,0,0,0
"Columnea picta",4,0,3,0,1,0,0,0,0
"Psammisia ulbrichiana",1,7,0,0,1,4,0,0,0
"Palicourea demissa",1,2,0,3,1,0,3,3,2
"Heliconia virginalis",12,0,5,5,1,0,0,0,0
