"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea pardina",1,0.0666666666666667,1,0,0.714285714285714,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0144927536231884,0.102740674071743,1
"Guzmania amplectens",1,0.0666666666666667,0.0714285714285714,-0.928571428571429,0.785714285714286,1,1,1,1,1.76923076923077,0,0,0.0677083333333333,0.0272020725388601,1677720700.50048,0,1,0.202898550724638,0.102740674071743,0
"Macleania bullata",1,0.0666666666666667,0.0714285714285714,-0.928571428571429,0.857142857142857,1,1,1,1,1.76923076923077,0,0,0.0677083333333333,0.0272020725388601,1677720700.50048,0,1,0.202898550724638,0.102740674071743,0
"Macleania stricta",1,0.0666666666666667,0.0769230769230769,-0.923076923076923,0.928571428571429,1,1,1,1,1.61538461538462,0,0,0.0729166666666667,0.0290743670886076,1677720700.50048,0,1,0.188405797101449,0.102740674071743,0.0280812285970786
"Psammisia aberrans",1,0.0666666666666667,0.0714285714285714,-0.928571428571429,1,1,1,1,1,1.76923076923077,0,0,0.0677083333333333,0.0272020725388601,1677720700.50048,0,1,0.202898550724638,0.102740674071743,0
"Besleria solanoides",2,0.133333333333333,0.253846153846154,-0.373076923076923,0.428571428571429,0.964285714285714,0.723746864455746,0.928571428571429,1,1.46153846153846,0.153846153846154,0.192307692307692,0.0807291666666667,0.0543639053254438,2.62230229845195,0.636514168294813,1.88988157484231,0.333333333333333,0.194167706915067,0.194549320924953
"Gasteranthus quitensis",2,0.133333333333333,0.276923076923077,-0.361538461538461,0.5,0.964285714285714,0.723746864455746,0.928571428571429,1,1.46153846153846,0.153846153846154,0.141025641025641,0.0807291666666667,0.0408333333333333,2.62230229845195,0.636514168294813,1.88988157484231,0.333333333333333,0.194167706915067,0.229500504118907
"Renealmia sessilifolia",3,0.2,0.648351648351648,-0.117216117216117,0.214285714285714,0.857142857142857,0.534522483824849,0.857142857142857,1,1.23076923076923,0.215384615384615,0,0.08984375,0.0436979785969084,419430397.854167,1.09861228866811,3,0.420289855072464,0.30822202221523,0.214403281753908
"Sarcopera anomala",1,0.0666666666666667,0.3,-0.7,0.642857142857143,1,1,1,1,2.23076923076923,0,0,0.0553385416666667,0.042144495412844,0.525261466517939,0,1,0.144927536231884,0.102740674071743,0.518833777192061
"Guzmania jaramilloi",2,0.133333333333333,0.730769230769231,-0.134615384615385,0.357142857142857,0.976190476190476,0.773443136703847,0.928571428571429,1,1.46153846153846,0.0615384615384615,0,0.078125,0.0685634328358209,1.59181590415142,0.562335144618808,1.75476535060332,0.217391304347826,0.180285774958724,0.480878115173677
"Glossoloma purpureum",1,0.0666666666666667,0.7,-0.3,0.571428571428571,1,1,1,1,2.53846153846154,0,0,0.0455729166666667,0.0513268156424581,0.319256906602962,0,1,0.144927536231884,0.102740674071743,0.819731501536662
"Meriania tomentosa",3,0.2,2.07692307692308,0.358974358974359,0.142857142857143,0.971428571428571,0.720382146723379,0.857142857142857,1,1.61538461538462,0,0,0.0729166666666667,0.0290743670886076,1.98881626927183,0.796311640173813,2.21734745227321,0.229813664596273,0.227811771897812,0.814805538463488
"Palicourea demissa",2,0.133333333333333,1.4,0.2,0.285714285714286,0.946428571428571,0.689361051185899,0.928571428571429,1,2.23076923076923,0,0,0.0553385416666667,0.0470550576184379,0.935412999044635,0.682908104700472,1.97962633005252,0.188405797101449,0.203388143559767,0.735367923414643
"Stromanthe stromanthoides",6,0.4,3.51428571428571,0.419047619047619,0,0.80952380952381,0.387222117295469,0.642857142857143,1,1.61538461538462,0.2,0.153846153846154,0.0755208333333333,0.0625,5.40280531899817,1.67262544615032,5.3261329320071,0.449275362318841,0.54721048763012,0.461989114714222
"Mezobromelia capituligera",5,0.333333333333333,3.80769230769231,0.561538461538462,0.0714285714285714,0.908163265306123,0.496640499470478,0.714285714285714,1,1.23076923076923,0.215384615384615,0.512820512820513,0.08984375,0.112510436960757,2.49674652037146,1.36868963762284,3.93019733709904,0.463768115942029,0.403791123648525,0.551791617947529
