"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Guzmania jaramilloi",3,0.157894736842105,0.22000738279808,-0.259997539067307,0.307692307692308,0.981481481481482,0.761201079435213,0.888888888888889,1,1.38461538461538,0.0246675984793412,0.0411039342337052,0.0279585798816568,0.029856656054639,1.08998665620377,0.70291893077351,2.01963929931604,0.380867346938775,0.177346727718816,0.252354164350445
"Columnea ciliata",5,0.263157894736842,0.539844241133894,-0.0920311517732213,0.153846153846154,0.930555555555556,0.538312661249949,0.777777777777778,1,1.15384615384615,0.10819430700605,0.0713446858485026,0.0319526627218935,0.0227748388328142,2.29323849463529,1.29190600734467,3.63971727651383,0.321315192743764,0.319607540331566,0.331527980042411
"Renealmia sessilifolia",7,0.368421052631579,0.706186218248282,-0.0419733973931026,0.0769230769230769,0.888888888888889,0.399330715793478,0.666666666666667,1,1.17948717948718,0.111946816338708,0.000587199060481503,0.031508875739645,0.0218872950310321,4.20816275744556,1.75400412771797,5.77769103360489,0.439002267573696,0.507345345739297,0.274894028769965
"Fuchsia macrostigma",7,0.368421052631579,0.596319614642146,-0.0576686264796934,0.0512820512820513,0.938271604938272,0.501459857121279,0.666666666666667,1,1.20512820512821,0.082418917717147,0.0416911332941867,0.0310650887573964,0.0282935937366138,4.00344180656492,1.53883408434405,4.65915492135792,0.572610096670247,0.409125470829206,0.143664380760857
"Palicourea lineata",2,0.105263157894737,0.709523809523809,-0.145238095238095,0.461538461538462,0.993464052287582,0.895080773250814,0.944444444444444,1,1.79487179487179,0.000994237480723967,0,0.0208579881656805,0.02251933683941,0.563935856848166,0.336495757583516,1.40003292973449,0.0897959183673469,0.122938417207015,0.773137062289156
"Drymonia tenuis",4,0.210526315789474,1.5328903654485,0.133222591362126,0.230769230769231,0.944444444444444,0.58052254729297,0.833333333333333,1,1.48717948717949,0.0114780803969993,0.0343511450381679,0.0261834319526627,0.0305685964463854,1.43065344035967,1.1231308210777,3.07446475003365,0.355102040816327,0.269972100013089,0.368262182690966
"Meriania tomentosa",5,0.263157894736842,1.20700252346459,0.041400504692918,0.128205128205128,0.983660130718954,0.768108597311308,0.777777777777778,1,1.30769230769231,0.0433903737957792,0,0.0292899408284024,0.0141621011566085,2.01930513524119,0.838727852900336,2.31342209081105,0.199628942486085,0.203144114781636,0.75747542057413
"Columnea strigosa",3,0.157894736842105,0.367614932616839,-0.210795022461054,0.282051282051282,0.944444444444444,0.58400215250925,0.888888888888889,1,1.25641025641026,0.0511372499489927,0.0252495596007046,0.0301775147928994,0.0315468982212063,0.876364932403035,1.03824001856935,2.82424202417236,0.483830455259027,0.247999769781938,0.274409447181183
"Centropogon solanifolius",2,0.105263157894737,0.39608711701735,-0.301956441491325,0.435897435897436,0.990338164251208,0.856491213380368,0.944444444444444,1,1.38461538461538,0.0246675984793412,0.08984145625367,0.0279585798816568,0.0293923229051798,0.498795317310928,0.419483369306181,1.52117546664052,0.276719576719577,0.133576075384451,0.515507631772765
"Palicourea acetosoides",4,0.210526315789474,1.26236243487101,0.0655906087177532,0.205128205128205,0.969135802469136,0.6775379673147,0.833333333333333,1,1.35897435897436,0.0222844222844223,0,0.0284023668639053,0.0466625053485429,1.08702133260198,0.912424850452338,2.49035395369443,0.362585034013605,0.218680694468013,0.47444190817412
"Palicourea demissa",9,0.473684210526316,3.96060698617423,0.328956331797137,0,0.909722222222222,0.459556629642507,0.555555555555556,1,1.25641025641026,0.111323885974399,0.211978860833823,0.0301775147928994,0.04027166182421,2.87332060887807,1.6229544494334,5.06804149175663,0.250793650793651,0.445030246148709,0.721605652538912
"Mezobromelia capituligera",8,0.421052631578947,2.46762300955457,0.183452876194321,0.0256410256410256,0.923423423423423,0.554584780854279,0.611111111111111,1,1.23076923076923,0.116808619627818,0.461538461538462,0.0306213017751479,0.0584017951723553,2.13827027696259,1.31535738612182,3.72608239746055,0.506400742115028,0.327191355715891,0.413400156886811
