"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Bomarea pardina",1,0.0588235294117647,1,0,0.954545454545455,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.00694444444444444,0.0810372152824454,1
"Glossoloma purpureum",1,0.0588235294117647,0.0454545454545455,-0.954545454545455,1,1,1,1,1,1.8,0,0,0.0429378531073446,0.0144551519644181,1677720700.50048,0,1,0.152777777777778,0.0810372152824454,0
"Drymonia tenuis",1,0.0588235294117647,0.222222222222222,-0.777777777777778,0.863636363636364,1,1,1,1,1.85,0,0,0.0423728813559322,0.0241735537190083,0.795926633452104,0,1,0.0625,0.0810372152824454,0.513407719411248
"Heliconia griggsiana",2,0.117647058823529,0.316666666666667,-0.341666666666667,0.636363636363636,0.9375,0.684653196881458,0.9375,1,2.1,0,0,0.0361581920903955,0.0152027027027027,2941562359.8741,0.693147180559945,2,0.131944444444444,0.162074430564891,0.337708131802957
"Palicourea acetosoides",1,0.0588235294117647,1,0,0.909090909090909,1,1,1,1,NA,0,0,0,NA,0.795926633452104,0,1,0.0138888888888889,0.0810372152824454,1
"Psammisia aberrans",2,0.117647058823529,0.169934640522876,-0.415032679738562,0.681818181818182,0.9375,0.684653196881458,0.9375,1,1.6,0.0243869877081556,0,0.0474576271186441,0.0192814765985498,2941562359.8741,0.693147180559945,2,0.180555555555556,0.162074430564891,0.18628779816223
"Drymonia collegarum",2,0.117647058823529,0.202020202020202,-0.398989898989899,0.5,0.96875,0.726483157256779,0.9375,1,1.5,0.01619742787626,0,0.0519774011299435,0.0310886729426055,2.62230229845195,0.636514168294813,1.88988157484231,0.215277777777778,0.153150740038823,0.224316830301929
"Gasteranthus quitensis",2,0.117647058823529,0.178787878787879,-0.410606060606061,0.545454545454545,0.96875,0.726483157256779,0.9375,1,1.4,0.208165860903087,0,0.0542372881355932,0.0171503957783641,2.62230229845195,0.636514168294813,1.88988157484231,0.256944444444444,0.153150740038823,0.210137224929591
"Glossoloma oblongicalyx",1,0.0588235294117647,0.272727272727273,-0.727272727272727,0.772727272727273,1,1,1,1,2.05,0,0,0.0367231638418079,0.0246553073634776,0.525261466517939,0,1,0.0763888888888889,0.0810372152824454,0.567640598905684
"Guzmania jaramilloi",2,0.117647058823529,1.04545454545455,0.0227272727272728,0.590909090909091,0.96875,0.726483157256779,0.9375,1,1.6,0,0,0.0485875706214689,0.0142832228810603,2.62230229845195,0.636514168294813,1.88988157484231,0.166666666666667,0.153150740038823,0.65713364468077
"Sarcopera anomala",1,0.0588235294117647,0.2,-0.8,0.818181818181818,1,1,1,1,2.1,0,0,0.0361581920903955,0.0182356608478803,0.525261466517939,0,1,0.104166666666667,0.0810372152824454,0.464431058962649
"Centropogon solanifolius",1,0.0588235294117647,0.181818181818182,-0.818181818181818,0.727272727272727,1,1,1,1,1.8,0,0,0.0429378531073446,0.0434298440979956,0.427945957592403,0,1,0.152777777777778,0.0810372152824454,0.418340894928952
"Macleania stricta",3,0.176470588235294,0.461038961038961,-0.17965367965368,0.318181818181818,0.958333333333333,0.636396103067893,0.875,1,1.55,0.0237226277372263,0,0.0502824858757062,0.0303783382789317,3.16655491100451,0.950270539233235,2.58640928985893,0.277777777777778,0.209595406430815,0.371154199380992
"Mezobromelia capituligera",3,0.176470588235294,0.756565656565657,-0.0811447811447811,0.363636363636364,0.958333333333333,0.636396103067893,0.875,1,1.5,0.01619742787626,0,0.0519774011299435,0.0300506347692082,3.16655491100451,0.950270539233235,2.58640928985893,0.25,0.209595406430815,0.519945000058864
"Columnea ciliata",2,0.117647058823529,0.386363636363636,-0.306818181818182,0.454545454545455,0.9375,0.684653196881458,0.9375,1,1.75,0.0350033178500332,0.0724729815638906,0.0446327683615819,0.042483660130719,1.0505229538638,0.693147180559945,2,0.236111111111111,0.162074430564891,0.389613284905652
"Fuchsia macrostigma",3,0.176470588235294,0.338383838383838,-0.220538720538721,0.272727272727273,0.96875,0.684653196881458,0.875,1,1.25,0.114958763863873,0.0257469802924348,0.0593220338983051,0.0475609756097561,2.38771671927057,0.867563228481461,2.3811015779523,0.368055555555556,0.192957841181891,0.270917152582939
"Meriania tomentosa",3,0.176470588235294,1.13636363636364,0.0454545454545454,0.227272727272727,0.975,0.723159168975592,0.875,1,1.55,0.0237226277372263,0,0.0502824858757062,0.0193855330429843,1.98881626927183,0.796311640173813,2.21734745227321,0.253968253968254,0.179687662845846,0.708087631064766
"Guzmania amplectens",3,0.176470588235294,0.607248960190137,-0.130917013269954,0.181818181818182,0.95,0.608580619450185,0.875,1,1.35,0.0675917148544886,0.143356643356643,0.0559322033898305,0.0464391018371513,1.57579951959953,0.995026990179521,2.70479734326014,0.333333333333333,0.219189244601158,0.386529952972485
"Stromanthe stromanthoides",3,0.176470588235294,1.78571428571429,0.261904761904762,0.136363636363636,0.958333333333333,0.636396103067893,0.875,1,2.2,0.00656934306569343,0.101080737444374,0.0350282485875706,0.0354330708661417,1.45308990103431,0.950270539233235,2.58640928985893,0.145833333333333,0.209595406430815,0.726867848547878
"Columnea mastersonii",3,0.176470588235294,0.824866310160428,-0.0583778966131907,0.0909090909090909,0.972222222222222,0.713873507433484,0.875,1,1.5,0.0986673302366733,0.143038779402416,0.0508474576271186,0.0432692307692308,1.22254603174132,0.79026796807459,2.20398694527043,0.278311965811966,0.178604964563579,0.557563228153834
"Columnea strigosa",2,0.117647058823529,0.727272727272727,-0.136363636363636,0.409090909090909,0.9625,0.708486503047165,0.9375,1,1.35,0.0768635257686353,0.131277813095995,0.0559322033898305,0.0782646089158584,0.603340519575995,0.661563238157982,1.93781924087838,0.305555555555556,0.157035475001527,0.531632108978702
