"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Violet-tailed Sylph",6,0.5,4.35909090909091,0.559848484848485,0,0.927272727272727,0.545454545454545,0.559581373109678,0.863383838383838,1,0.5,0.666666666666667,0.230769230769231,0.293255131964809,3.15157264340677,1.30309240376172,3.68066117720662,0.499250170984239,0.425925925925926,0.782147503114109
"Speckled Hummingbird",1,0.0833333333333333,0.894736842105263,-0.105263157894737,0.8,1,1,1,0.894736842105263,1,0,0,0.0769230769230769,NA,0.232183402708369,0,1,0.13564143694507,0.351851851851852,0.895259395104427
"Tawny-bellied Hermit",4,0.333333333333333,2.9,0.475,0.2,0.818181818181818,0.727272727272727,0.438085827115181,0.755555555555556,1.33333333333333,0,0,0.192307692307692,0.379506641366224,2.75920174118743,1.36892236074022,3.93111209131334,0.533221692857881,0.259259259259259,0.776894810066504
"Collared Inca",4,0.333333333333333,2.15,0.2875,0.4,0.863636363636364,0.727272727272727,0.463190516467527,0.51,1,0.5,0.333333333333333,0.230769230769231,0.293255131964809,9.28414131051468,1.33217904021012,3.789291416276,0.513984932707295,0.222222222222222,0.604694872747153
"Brown Inca",3,0.25,1.59090909090909,0.196969696969697,0.6,0.818181818181818,0.818181818181818,0.522232967867094,0.53030303030303,1.33333333333333,0,0,0.192307692307692,0.0967741935483871,419430397.854167,1.09861228866811,3,0.406924310835209,0.259259259259259,0.555359068125389
"Gorgeted Sunangel",1,0.0833333333333333,0.105263157894737,-0.894736842105263,1,1,1,1,0.105263157894737,1,0,0,0.0769230769230769,NA,0.795926633452104,0,1,0.13564143694507,0.351851851851852,0.157187965998753
