"","R","1300_1500","1500_1700","1700_1900","1900_2100","2100_2300","2300_2500"
"1","High",19.724013600677,21.4884236987201,14.4503309450241,17.4121345791793,21.0698930257449,21.9660365591353
"2","Medium",19.1289631880031,21.8670945769567,23.9355876278554,26.4892733306473,25.9685083506465,23.5015820359611
"3","Low",25.6478755853594,27.07654719277,26.5445717322946,31.3733988849239,30.2952145908471,24.9992756245717
