"","Stripe-throated Hermit","Booted Racket-tail","Booted Racketail","White-whiskered Hermit","Wedge-billed Hummingbird","Tawny-bellied Hermit","Crowned Woodnymph","Brown Inca","Green-crowned Woodnymph","Purple-bibbed Whitetip"
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",0,1,0,0,0,0,0,0,0,0
"Psammisia aberrans",0,0,0,0,0,0,0,1,0,0
"Salvia quitensis",0,0,0,0,0,0,1,0,0,0
"Centropogon solanifolius",0,0,0,0,0,3,0,0,0,0
"Columnea picta",3,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",3,0,0,2,0,0,0,0,0,0
"Renealmia sessilifolia",1,5,0,0,0,0,0,0,1,0
"Palicourea demissa",0,0,6,0,0,0,2,0,0,1
"Heliconia griggsiana",1,0,0,4,5,1,0,0,0,0
