"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Burmeistera cylindrocarpa",1,0.0526315789473684,0.0769230769230769,-0.923076923076923,0.647058823529412,1,1,1,1,1.75,0,0,0.0570902394106814,0.0147909350192716,1677720700.50048,0,1,0.0915492957746479,0.0800202094771343,0.192918215239697
"Columnea medicinalis",1,0.0526315789473684,0.0625,-0.9375,0.705882352941177,1,1,1,1,2.1875,0,0,0.0492633517495396,0.0138521148943894,1677720700.50048,0,1,0.112676056338028,0.0800202094771343,0.127582832057874
"Drymonia teuscheri",1,0.0526315789473684,0.0625,-0.9375,0.764705882352941,1,1,1,1,2.1875,0,0,0.0492633517495396,0.0138521148943894,1677720700.50048,0,1,0.112676056338028,0.0800202094771343,0.127582832057874
"Macleania bullata",1,0.0526315789473684,0.0769230769230769,-0.923076923076923,0.823529411764706,1,1,1,1,1.75,0,0,0.0570902394106814,0.0147909350192716,1677720700.50048,0,1,0.0915492957746479,0.0800202094771343,0.192918215239697
"Macleania recumbens",1,0.0526315789473684,1,0,0.882352941176471,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.00704225352112676,0.0800202094771343,1
"Macleania stricta",1,0.0526315789473684,0.5,-0.5,0.941176470588235,1,1,1,1,2.6875,0,0,0.0377532228360958,0.0125184634376634,1677720700.50048,0,1,0.0140845070422535,0.0800202094771343,0.781895708014468
"Palicourea demissa",1,0.0526315789473684,0.0555555555555556,-0.944444444444444,1,1,1,1,1,1.8125,0,0,0.0598526703499079,0.0133344724397813,1677720700.50048,0,1,0.126760563380282,0.0800202094771343,0.0905214599276578
"Heliconia virginalis",2,0.105263157894737,1.125,0.0625,0.529411764705882,0.944444444444444,0.687184270936277,0.944444444444444,1,2.3125,0,0,0.0437384898710866,0.0136994474788246,2941562359.8741,0.693147180559945,2,0.0633802816901408,0.160040418954269,0.660360312967886
"Tillandsia complanata",2,0.105263157894737,0.0972222222222222,-0.451388888888889,0.588235294117647,0.944444444444444,0.687184270936277,0.944444444444444,1,1.8125,0,0,0.0598526703499079,0.0193381982994106,2941562359.8741,0.693147180559945,2,0.295774647887324,0.160040418954269,0.0088309162546103
"Centropogon solanifolius",2,0.105263157894737,0.722222222222222,-0.138888888888889,0.470588235294118,0.972222222222222,0.728604280478,0.944444444444444,1,1.5,0.0672566371681416,0,0.0662983425414365,0.022629057822801,2.62230229845195,0.636514168294813,1.88988157484231,0.147887323943662,0.151228719505858,0.589331233546329
"Fuchsia macrostigma",2,0.105263157894737,0.264423076923077,-0.367788461538462,0.352941176470588,0.981481481481482,0.777281587757401,0.944444444444444,1,1.5625,0.116814159292035,0,0.065377532228361,0.0344392973838839,1.59181590415142,0.562335144618808,1.75476535060332,0.204225352112676,0.140416690938495,0.356250585216001
"Renealmia sessilifolia",2,0.105263157894737,0.286324786324786,-0.356837606837607,0.411764705882353,0.981481481481482,0.777281587757401,0.944444444444444,1,1.3125,0.187610619469027,0.16,0.074585635359116,0.0384841322672029,1.59181590415142,0.562335144618808,1.75476535060332,0.21830985915493,0.140416690938495,0.381493203093191
"Psammisia sodiroi",3,0.157894736842105,0.569444444444444,-0.143518518518519,0.235294117647059,0.977777777777778,0.725311724367991,0.888888888888889,1,1.8125,0,0,0.0598526703499079,0.0365356024420333,1.98881626927183,0.796311640173813,2.21734745227321,0.297786720321932,0.177432607614492,0.414437003670221
"Columnea mastersonii",2,0.105263157894737,0.5625,-0.21875,0.294117647058824,0.992063492063492,0.876981882493716,0.944444444444444,1,2.125,0.0132743362831858,0.0742857142857143,0.0520257826887661,0.0476878227488597,0.855931944224533,0.376770161256437,1.45756926498109,0.169014084507042,0.11663499791122,0.622033424063833
"Sarcopera anomala",6,0.315789473684211,2.45818713450292,0.243031189083821,0.117647058823529,0.898148148148148,0.48268759314083,0.722222222222222,1,1.8125,0,0,0.0598526703499079,0.0379918969211833,3.30501250225167,1.48689522688818,4.42334070797468,0.392294946147473,0.353956650040869,0.450660975388057
"Meriania tomentosa",5,0.263157894736842,3.20029239766082,0.440058479532164,0.176470588235294,0.980392156862745,0.738277427649277,0.777777777777778,1,1.75,0.132743362831858,0.0857142857142857,0.0626151012891344,0.0403370577604954,1.9680927401137,0.898082750061324,2.45489195491804,0.226576852418861,0.196440968476274,0.841580154525414
"Heliconia griggsiana",7,0.368421052631579,4.79487179487179,0.542124542124542,0.0588235294117647,0.847222222222222,0.379245514797245,0.666666666666667,1,1.4375,0.294690265486726,0.328571428571429,0.070902394106814,0.0627118576047777,2.87145128259504,1.76029735322434,5.81416599839334,0.373239436619718,0.465250781126266,0.710736221217661
"Besleria solanoides",7,0.368421052631579,3.085110211426,0.297872887346572,0,0.934027777777778,0.489897948556636,0.666666666666667,1,1.3125,0.187610619469027,0.351428571428571,0.074585635359116,0.0439153152698916,2.63119485926979,1.54222120865219,4.67496281478435,0.479678068410463,0.374091503736857,0.501351660357964
