"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racketail",4,0.222222222222222,1.45294117647059,0.113235294117647,0.166666666666667,0.970588235294118,0.823529411764706,0.693986777293936,0.419782913165266,1.58823529411765,0.0356770833333333,0.193704600484261,0.0612582781456954,0.0580941794148264,1.37065794023734,0.881721481547744,2.41505360017516,0.273005852588572,0.421948356807512,0.46915177506128
"Buff-tailed Coronet",3,0.166666666666667,0.826525392765802,-0.057824869078066,0.222222222222222,0.993079584775087,0.882352941176471,0.891452723528179,0.665926965751976,1.47058823529412,0.111197916666667,0.0799031476997579,0.0662251655629139,0.0412736542605667,1.00209348485186,0.409458618695089,1.50600224291366,0.170243602997931,0.267234988880652,0.680475149744406
"Violet-tailed Sylph",8,0.444444444444444,3.09992083790038,0.262490104737547,0,0.907563025210084,0.588235294117647,0.450127069931333,0.397614649724624,1.41176470588235,0.212760416666667,0.317191283292978,0.0687086092715232,0.0440235333510785,5.51841667114466,1.68656283536518,5.40088503421126,0.610534368011859,0.477308294209703,0.369126331969154
"Tawny-bellied Hermit",5,0.277777777777778,3.75833333333333,0.551666666666667,0.111111111111111,0.92436974789916,0.764705882352941,0.505484624773447,0.681770833333333,1.88235294117647,0,0,0.0538079470198676,0.0258825289508449,2.49674652037146,1.36868963762284,3.93019733709904,0.44428284108404,0.309859154929577,0.699219732395373
"Brown Inca",6,0.333333333333333,3.22857142857143,0.371428571428571,0.0555555555555556,0.931372549019608,0.705882352941177,0.498169290339941,0.440659340659341,1.29411764705882,0.4140625,0.329297820823245,0.0720198675496689,0.0329022159591255,4.32190217069684,1.48445753581749,4.41257110164784,0.498812007992573,0.358613217768147,0.464161537407762
"Sparkling Violetear",2,0.111111111111111,0.467226890756303,-0.266386554621849,0.333333333333333,0.96078431372549,0.941176470588235,0.701259371332999,0.257478991596639,1.64705882352941,0.0109375,0.00242130750605327,0.0587748344370861,0.0420274225789699,0.75178092531656,0.673011667009257,1.96013170420779,0.221579938041262,0.366197183098592,0.391553134378757
"Andean Emerald",1,0.0555555555555556,0.266666666666667,-0.733333333333333,0.611111111111111,1,1,1,0.266666666666667,1.88235294117647,0,0,0.0538079470198676,0.02823237438807,0.301670201268593,0,1,0.113043392729988,0.211267605633803,0.499679860285064
"White-whiskered Hermit",3,0.166666666666667,0.825,-0.0583333333333333,0.277777777777778,0.980392156862745,0.882352941176471,0.754886045159447,0.228125,1.82352941176471,0.125,0.0774818401937046,0.0562913907284768,0.0262666737162941,1.74344393002143,0.735621939758795,2.08677944009772,0.235896627787831,0.28169014084507,0.411900916564561
"Booted Racket-tail",2,0.111111111111111,0.174789915966387,-0.412605042016807,0.388888888888889,0.941176470588235,0.941176470588235,0.685994340570035,0.0873949579831933,1.64705882352941,0.0109375,0,0.0587748344370861,0.0267677452038026,1.59181590415142,0.693147180559945,2,0.226086785459976,0.366197183098592,0.225969960787352
"Collared Inca",2,0.111111111111111,0.273291925465838,-0.363354037267081,0.444444444444444,0.980392156862745,0.941176470588235,0.776492869555534,0.133540372670807,2.11764705882353,0.00520833333333333,0,0.0492549668874172,0.0234810648488037,1.59181590415142,0.562335144618808,1.75476535060332,0.198364628677227,0.211267605633803,0.376680988071713
"Speckled Hummingbird",1,0.0555555555555556,0.114285714285714,-0.885714285714286,0.666666666666667,1,1,1,0.114285714285714,1.70588235294118,0,0,0.0562913907284768,0.0290030286360673,0.427945957592403,0,1,0.113043392729988,0.246478873239437,0.328739267279922
"Stripe-throated Hermit",1,0.0555555555555556,0.133333333333333,-0.866666666666667,0.722222222222222,1,1,1,0.133333333333333,1.88235294117647,0,0,0.0538079470198676,0.0215994626633397,0.427945957592403,0,1,0.113043392729988,0.211267605633803,0.376444539985948
"Green-crowned Brilliant",2,0.111111111111111,0.7,-0.15,0.5,0.970588235294118,0.941176470588235,0.727606875108999,0.455555555555556,1.58823529411765,0.07421875,0,0.0596026490066225,0.0154486296832334,2.62230229845195,0.636514168294813,1.88988157484231,0.213638625078068,0.232394366197183,0.582628711324132
"Gorgeted Sunangel",2,0.111111111111111,1.04347826086957,0.0217391304347826,0.555555555555556,0.941176470588235,0.941176470588235,0.685994340570035,0.521739130434783,2.17647058823529,0,0,0.0467715231788079,0.00938345473308421,2941562359.8741,0.693147180559945,2,0.226086785459976,0.169014084507042,0.549274242287037
"Crowned Woodnymph",1,0.0555555555555556,1,0,0.777777777777778,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.113043392729988,0.00704225352112676,1
"Green-crowned Woodnymph",1,0.0555555555555556,0.5,-0.5,0.833333333333333,1,1,1,0.5,2.76470588235294,0,0,0.0347682119205298,0.00833546159501043,1677720700.50048,0,1,0.113043392729988,0.0140845070422535,0.805040978106214
"Purple-bibbed Whitetip",1,0.0555555555555556,0.0588235294117647,-0.941176470588235,0.888888888888889,1,1,1,0.0588235294117647,2.11764705882353,0,0,0.0492549668874172,0.00982627156079183,1677720700.50048,0,1,0.113043392729988,0.119718309859155,0.203112242442637
"Tyrian Metaltail",1,0.0555555555555556,0.0434782608695652,-0.956521739130435,0.944444444444444,1,1,1,0.0434782608695652,2.17647058823529,0,0,0.0467715231788079,0.00938345473308421,1677720700.50048,0,1,0.113043392729988,0.161971830985915,0.118090785571182
"Wedge-billed Hummingbird",1,0.0555555555555556,0.0333333333333333,-0.966666666666667,1,1,1,1,0.0333333333333333,1.88235294117647,0,0,0.0538079470198676,0.00896377345641356,1677720700.50048,0,1,0.113043392729988,0.211267605633803,0.0433574089403448
