"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Columnea ciliata",1,0.0909090909090909,0.1,-0.9,0.916666666666667,1,1,1,1,1.90909090909091,0,0,0.0774907749077491,0.0167001332034434,1677720700.50048,0,1,0.126582278481013,0.113416813820847,0.169517976278159
"Mikania websteri",1,0.0909090909090909,1,0,1,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0126582278481013,0.113416813820847,1
"Centropogon solanifolius",1,0.0909090909090909,0.2,-0.8,0.75,1,1,1,1,1.90909090909091,0,0,0.0774907749077491,0.0236409946104161,0.795926633452104,0,1,0.126582278481013,0.113416813820847,0.377451737988708
"Drymonia collegarum",1,0.0909090909090909,0.2,-0.8,0.833333333333333,1,1,1,1,1.90909090909091,0,0,0.0774907749077491,0.0236409946104161,0.795926633452104,0,1,0.126582278481013,0.113416813820847,0.377451737988708
"Glossoloma oblongicalyx",2,0.181818181818182,0.433333333333333,-0.283333333333333,0.5,0.9,0.670820393249937,0.9,1,1.72727272727273,0.0833333333333333,0.0230769230769231,0.0848708487084871,0.024647514753387,2941562359.8741,0.693147180559945,2,0.164556962025316,0.226833627641695,0.34218974762786
"Macleania bullata",1,0.0909090909090909,0.444444444444444,-0.555555555555556,0.666666666666667,1,1,1,1,2.09090909090909,0,0,0.0701107011070111,0.0643155399141913,0.427945957592403,0,1,0.113924050632911,0.113416813820847,0.66818375478532
"Drymonia teuscheri",1,0.0909090909090909,0.454545454545455,-0.545454545454545,0.583333333333333,1,1,1,1,2.18181818181818,0,0,0.0645756457564576,0.0657421521237622,0.375882883682592,0,1,0.139240506329114,0.113416813820847,0.670731919917935
"Heliconia burleana",2,0.181818181818182,0.5,-0.25,0.416666666666667,0.975,0.804984471899924,0.9,1,1.36363636363636,0.416666666666667,0.346153846153846,0.0996309963099631,0.0350204285833403,1.23549253245909,0.500402423538188,1.64938488846612,0.253164556962025,0.187067978814081,0.501561141565683
"Palicourea acetosoides",3,0.272727272727273,0.665656565656566,-0.111447811447811,0.25,0.96,0.711422834170785,0.8,1,1.45454545454545,0.153061224489796,0.0769230769230769,0.0940959409594096,0.074713787743381,1.98881626927183,0.796311640173813,2.21734745227321,0.379746835443038,0.251484483170601,0.464997344384104
"Mezobromelia capituligera",2,0.181818181818182,0.736111111111111,-0.131944444444444,0.333333333333333,0.99,0.904534033733291,0.9,1,1.81818181818182,0.0289115646258503,0.0153846153846154,0.0830258302583026,0.0907435414673292,0.715316431468451,0.304636097349238,1.35613141338627,0.293440736478711,0.153808104028634,0.666191737655013
"Palicourea lineata",3,0.272727272727273,1.52083333333333,0.173611111111111,0.166666666666667,0.916666666666667,0.587753813645259,0.8,1,1.63636363636364,0.0731292517006803,0.0461538461538462,0.0830258302583026,0.0790262149023102,1.3588829908145,0.994923632571775,2.70451779632421,0.354430379746835,0.306737791380871,0.59996549775179
"Palicourea demissa",5,0.454545454545455,3.1625,0.4325,0.0833333333333333,0.86,0.485912657903775,0.6,1,1.54545454545455,0.0357142857142857,0,0.0885608856088561,0.0375594597082174,3.21817331337899,1.35220939923383,3.86595754555187,0.293248945147679,0.438464587183157,0.764805601775194
"Psammisia ulbrichiana",5,0.454545454545455,1.58257575757576,0.116515151515152,0,0.871428571428571,0.457575130443078,0.6,1,1.36363636363636,0.209183673469388,0.492307692307692,0.0996309963099631,0.106391436487262,2.49674652037146,1.42263002620755,4.14801549629437,0.541930379746835,0.470454701269209,0.373687655544782
