"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Tawny-bellied Hermit",4,0.363636363636364,2.74242424242424,0.435606060606061,0,0.97,0.7,0.755257705146682,0.84032634032634,1,0.333333333333333,0.333333333333333,0.133333333333333,NA,1.97415179372731,0.793730055158425,2.21163056380837,0.259245340337953,0.404761904761905,0.805381621801006
"Stripe-throated Hermit",3,0.272727272727273,3,0.666666666666667,0.142857142857143,0.9,0.8,0.588960949469487,1,NA,0,0,0,NA,1.74344393002143,0.974314752869349,2.6493511285621,0.310554550221135,0.19047619047619,1
"White-whiskered Hermit",3,0.272727272727273,1.75757575757576,0.252525252525253,0.285714285714286,0.925,0.8,0.609449400220044,0.774891774891775,1.5,0,0,0.1,NA,1.98881626927183,0.955699891112534,2.60049000598966,0.304827093494015,0.30952380952381,0.70698942325495
"Gorgeted Sunangel",2,0.181818181818182,0.833333333333333,-0.0833333333333333,0.428571428571429,0.933333333333333,0.9,0.687022561492707,0.433333333333333,1,0.666666666666667,0.666666666666667,0.2,0.380952380952381,1.23549253245909,0.673011667009257,1.96013170420779,0.22976487080624,0.285714285714286,0.511461653427962
"Buff-tailed Coronet",1,0.0909090909090909,0.666666666666667,-0.333333333333333,0.714285714285714,1,1,1,0.666666666666667,1.66666666666667,0,0,0.133333333333333,0.313725490196078,0.427945957592403,0,1,0.117219098243759,0.142857142857143,0.779869084600616
"Collared Inca",2,0.181818181818182,1.33333333333333,0.166666666666667,0.571428571428571,0.95,0.9,0.71492035298424,0.555555555555556,1.33333333333333,0,0,0.166666666666667,0.222222222222222,2.62230229845195,0.636514168294813,1.88988157484231,0.221530213990511,0.166666666666667,0.632658013684794
"Brown Inca",1,0.0909090909090909,0.5,-0.5,0.857142857142857,1,1,1,0.5,1.5,0,0,0.1,NA,1677720700.50048,0,1,0.117219098243759,0.0476190476190476,0.710935173682112
"Violet-tailed Sylph",1,0.0909090909090909,0.166666666666667,-0.833333333333333,1,1,1,1,0.166666666666667,1.33333333333333,0,0,0.166666666666667,0.126984126984127,1677720700.50048,0,1,0.117219098243759,0.142857142857143,0.252778263690786
