"","Tawny-bellied Hermit","Stripe-throated Hermit","White-whiskered Hermit","Gorgeted Sunangel","Buff-tailed Coronet","Collared Inca","Brown Inca","Violet-tailed Sylph"
"Columnea medicinalis",1,0,0,0,0,0,0,0
"Guzmania squarrosa",0,0,0,0,0,1,0,0
"Palicourea demissa",0,1,0,0,0,0,0,0
"Psammisia aberrans",1,0,0,0,0,0,1,0
"Columnea mastersonii",1,0,2,0,0,0,0,0
"Salvia quitensis",0,3,0,0,0,0,0,0
"Guzmania amplectens",0,0,4,0,0,0,0,0
"Stromanthe stromanthoides",0,4,0,0,0,0,0,0
"Macleania stricta",0,0,0,3,0,2,0,1
"Meriania tomentosa",0,0,0,2,4,0,0,0
"Heliconia griggsiana",10,0,1,0,0,0,0,0
