"","Abutilon_pictum","Wercklea_ferox","Blakea_quadriflora","Meriania_tomentosa","Fuchsia_macrostigma","Begonia_longirostris","Begonia_tiliifolia","Erythrina_edulis","Clusia","Alloplectus_purpureus","Alloplectus_strigosus","Alloplectus_tenuis","Alloplectus_tetragonoides","Alloplectus_teuscheri","Capanea_affinis","Columnea_ciliata","Columnea_cinerea","Columnea_katzensteiniae","Columnea_medicinalis","Columnea_picta","Columnea_stricta","Columnea_strigosa","Diastema_racemiferum","Drymonia_brochidodroma","Gasteranthus_lateralis","Gasteranthus_leopardus","Gasteranthus_quitensis","Heppiella","Heppiella_ulmifolia","Kohleria","Kohleria_inaequalis","Justicia_secunda","Salvia_quitensis","Faramea_calyptrata","Palicourea_acetosoides","Palicourea_demissa","Palicourea_lineata","Palicourea_sodiroi","Burmeistera_multiflora","Centropogon_nigricans","Centropogon_solanifolius","Macleania_bullata","Macleania_macrantha","Macleania_recumbens","Macleania_stricta","Psammisia_aberrans","Psammisia_ecuadorensis","Psammisia_sodiroi","Psammisia_ulbrichiana","Norantea_anomala","Hydrangea_peruviana","Bomarea_multiflora","Bomarea_pardina","Calathea_ischnosiphonoides","Stromanthe_stromanthoides","Renealmia_sessilifolia","Heliconia_burleana","Heliconia_griggsiana","Heliconia_impudica","Heliconia_virginalis","Guzmania_amplectens","Guzmania_jaramilloi","Mezobromelia_capituligera","Pitcairnia_sodiroi","Tillandsia_complanata"
"Calathea_ischnosiphonoides",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,0,46,85,124,124,124,124,190,190,190,190,190
"Stromanthe_stromanthoides",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,46,0,85,124,124,124,124,190,190,190,190,190
"Renealmia_sessilifolia",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,85,85,0,124,124,124,124,190,190,190,190,190
"Heliconia_burleana",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,0,62,62,62,190,190,190,190,190
"Heliconia_griggsiana",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,0,62,62,190,190,190,190,190
"Heliconia_impudica",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,62,0,62,190,190,190,190,190
"Heliconia_virginalis",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,124,124,124,62,62,62,0,190,190,190,190,190
"Guzmania_amplectens",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,0,33,66,66,66
"Guzmania_jaramilloi",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,33,0,66,66,66
"Mezobromelia_capituligera",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,0,66,66
"Pitcairnia_sodiroi",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,66,0,66
"Tillandsia_complanata",322,322,321.999998,321.999998,321.999998,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,256,256,190,190,190,190,190,190,190,66,66,66,66,0
