"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"13","Alloplectus tetragonoides",7,"2013","1900_2100","Brown Inca","272",2,13,16,4,"2013-07-26","FL079",1950,0.431,0.00527333450518545,"Jul",3,1,272
"14","Alloplectus tetragonoides",7,"2013","1900_2100","Green-crowned Brilliant","272",1,10,16,0,"2013-07-25","FL079",NA,1.61,0.00527333450518545,"Jul",9,1,272
"15","Alloplectus tetragonoides",7,"2013","1900_2100","Purple-bibbed Whitetip","272",1,7,16,0,"2013-07-25","FL079",NA,1.857,0.00527333450518545,"Jul",12,1,272
"16","Alloplectus tetragonoides",7,"2013","1900_2100","Green-crowned Brilliant","272",2,10,16,0,"2013-07-26","FL079",NA,1.61,0.00527333450518545,"Jul",9,1,272
"17","Alloplectus tetragonoides",7,"2013","1900_2100","Booted Racket-tail","272",2,8,16,0,"2013-07-26","FL079",NA,2.495,0.00527333450518545,"Jul",2,1,272
"18","Alloplectus tetragonoides",7,"2013","1900_2100","Fawn-breasted Brilliant","272",1,12,16,1,"2013-07-25","FL079",1950,1.719,0.00527333450518545,"Jul",7,1,272
"19","Alloplectus tetragonoides",7,"2014","1900_2100","Green-crowned Brilliant","212",1,10,16,0,"2014-07-22","FH819",NA,1.61,0.00153805589734575,"Jul",9,1,212
"20","Alloplectus tetragonoides",7,"2014","1900_2100","Brown Inca","212",1,13,16,1,"2014-07-22","FH819",2080,0.431,0.00153805589734575,"Jul",3,1,212
"21","Alloplectus tetragonoides",7,"2014","1900_2100","Tawny-bellied Hermit","212",1,11,16,0,"2014-07-22","FH819",NA,0.276,0.00153805589734575,"Jul",15,1,212
"22","Alloplectus tetragonoides",7,"2014","1900_2100","Violet-tailed Sylph","212",1,14,16,0,"2014-07-22","FH819",NA,2.163,0.00153805589734575,"Jul",16,1,212
"23","Alloplectus tetragonoides",12,"2013","1900_2100","Purple-bibbed Whitetip","183",1,7,16,0,"2013-12-04","FH704",NA,1.857,0.00219722271049394,"Dec",12,1,183
"24","Alloplectus tetragonoides",12,"2013","1900_2100","Tawny-bellied Hermit","183",1,11,16,0,"2013-12-04","FH704",NA,0.276,0.00219722271049394,"Dec",15,1,183
"25","Alloplectus tetragonoides",12,"2013","1900_2100","Fawn-breasted Brilliant","183",1,12,16,0,"2013-12-04","FH704",NA,1.719,0.00219722271049394,"Dec",7,1,183
"26","Alloplectus tetragonoides",12,"2013","1900_2100","Wedge-billed Hummingbird","183",1,6,16,0,"2013-12-04","FH704",NA,2.397,0.00219722271049394,"Dec",17,1,183
"27","Alloplectus tetragonoides",12,"2013","1900_2100","Green-crowned Brilliant","183",1,10,16,0,"2013-12-04","FH704",NA,1.61,0.00219722271049394,"Dec",9,1,183
"28","Alloplectus tetragonoides",12,"2013","1900_2100","Booted Racket-tail","183",1,8,16,0,"2013-12-04","FH704",NA,2.495,0.00219722271049394,"Dec",2,1,183
"29","Alloplectus tetragonoides",12,"2013","1900_2100","Brown Inca","183",1,13,16,1,"2013-12-04","FH704",1940,0.431,0.00219722271049394,"Dec",3,1,183
"30","Alloplectus tetragonoides",12,"2013","1900_2100","Violet-tailed Sylph","183",1,14,16,2,"2013-12-04","FH704",1940,2.163,0.00219722271049394,"Dec",16,1,183
"31","Besleria solanoides",4,"2015","1900_2100","Brown Inca","221",1,13,24,0,"2015-04-28","FH837",NA,1.733,0.0234004218667604,"Apr",3,2,221
"32","Besleria solanoides",4,"2015","1900_2100","Tawny-bellied Hermit","221",1,11,24,0,"2015-04-28","FH837",NA,2.44,0.0234004218667604,"Apr",15,2,221
"33","Besleria solanoides",4,"2015","1900_2100","Purple-bibbed Whitetip","221",1,7,24,0,"2015-04-28","FH837",NA,0.307,0.0234004218667604,"Apr",12,2,221
"34","Besleria solanoides",4,"2015","1900_2100","Tawny-bellied Hermit","143",1,11,24,0,"2015-04-28","FH538",NA,2.44,0.0234004218667604,"Apr",15,2,143
"35","Besleria solanoides",4,"2015","1900_2100","Green-crowned Brilliant","221",1,10,24,0,"2015-04-28","FH837",NA,0.554,0.0234004218667604,"Apr",9,2,221
"36","Besleria solanoides",4,"2015","1900_2100","Green-crowned Brilliant","143",1,10,24,0,"2015-04-28","FH538",NA,0.554,0.0234004218667604,"Apr",9,2,143
"37","Besleria solanoides",4,"2015","1900_2100","Violet-tailed Sylph","143",1,14,24,2,"2015-04-28","FH538",2080,0.001,0.0234004218667604,"Apr",16,2,143
"38","Besleria solanoides",4,"2015","1900_2100","Booted Racket-tail","221",1,8,24,1,"2015-04-28","FH837",1950,0.331,0.0234004218667604,"Apr",2,2,221
