"","Hummingbird","Iplant_Double","Camera","Bird","Plant","Day","Yobs","DateP","Transect_R","Month","Year","Traitmatch","All_Flowers","Used_Flowers","FlowerA","BAll_Flowers","UThresh","BUsed_Flowers","Thresh","BFlowerA","jBird","jPlant"
"1","Booted Racket-tail","Besleria solanoides","109",8,14,1,0,2013-10-22,"1700_1900",10,"2013",0.331,12012.3194444444,11676.3194444444,6781.61111111111,1,3851,1,323.5,1,1,1
"2","Booted Racket-tail","Besleria solanoides","38",8,14,1,1,2015-06-09,"2100_2300",6,"2015",0.331,2040.5,1541.33333333333,402.666666666667,1,3851,0,323.5,1,1,1
"3","Booted Racket-tail","Besleria solanoides","38",8,14,2,0,2015-06-09,"2100_2300",6,"2015",0.331,2040.5,1541.33333333333,402.666666666667,1,3851,0,323.5,1,1,1
"4","Booted Racket-tail","Besleria solanoides","265",8,14,1,2,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"5","Booted Racket-tail","Besleria solanoides","120",8,14,2,0,2014-06-04,"1700_1900",6,"2014",0.331,1124,586,166,1,3851,0,323.5,0,1,1
"6","Booted Racket-tail","Besleria solanoides","263",8,14,2,3,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"7","Booted Racket-tail","Besleria solanoides","122",8,14,3,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"8","Booted Racket-tail","Besleria solanoides","172",8,14,3,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"9","Booted Racket-tail","Besleria solanoides","28",8,14,3,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"10","Booted Racket-tail","Besleria solanoides","27",8,14,2,0,2014-09-23,"1900_2100",9,"2014",0.331,5888.5,5514.83333333333,2672.33333333333,1,3851,1,323.5,1,1,1
"11","Booted Racket-tail","Besleria solanoides","265",8,14,3,0,2013-08-03,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"12","Booted Racket-tail","Besleria solanoides","172",8,14,2,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"13","Booted Racket-tail","Besleria solanoides","266",8,14,1,2,2013-08-05,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"14","Booted Racket-tail","Besleria solanoides","69",8,14,2,0,2014-11-19,"2100_2300",11,"2014",0.331,5186.33333333333,4537,3810.66666666667,1,3851,1,323.5,1,1,1
"15","Booted Racket-tail","Besleria solanoides","263",8,14,2,3,2013-07-31,"2100_2300",7,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"16","Booted Racket-tail","Besleria solanoides","265",8,14,3,0,2013-08-04,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"17","Booted Racket-tail","Besleria solanoides","68",8,14,3,0,2014-09-10,"2100_2300",9,"2014",0.331,4232.5,3565,2097,1,3851,0,323.5,1,1,1
"18","Booted Racket-tail","Besleria solanoides","122",8,14,2,0,2014-11-06,"1700_1900",11,"2014",0.331,8261.5,7688.5,6096.5,1,3851,1,323.5,1,1,1
"19","Booted Racket-tail","Besleria solanoides","265",8,14,3,0,2013-08-02,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"20","Booted Racket-tail","Besleria solanoides","193",8,14,3,0,2015-04-28,"1900_2100",4,"2015",0.331,960,464,407,1,3851,0,323.5,1,1,1
"21","Booted Racket-tail","Besleria solanoides","201",8,14,1,1,2014-09-10,"1900_2100",9,"2014",0.331,4232.5,3851,2318,1,3851,0,323.5,1,1,1
"22","Booted Racket-tail","Besleria solanoides","27",8,14,3,0,2014-09-23,"1900_2100",9,"2014",0.331,5888.5,5514.83333333333,2672.33333333333,1,3851,1,323.5,1,1,1
"23","Booted Racket-tail","Besleria solanoides","120",8,14,3,0,2014-06-04,"1700_1900",6,"2014",0.331,1124,586,166,1,3851,0,323.5,0,1,1
"24","Booted Racket-tail","Besleria solanoides","266",8,14,1,2,2013-08-04,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"25","Booted Racket-tail","Besleria solanoides","193",8,14,1,1,2015-04-28,"1900_2100",4,"2015",0.331,960,464,407,1,3851,0,323.5,1,1,1
"26","Booted Racket-tail","Besleria solanoides","265",8,14,3,0,2013-08-05,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"27","Booted Racket-tail","Besleria solanoides","265",8,14,1,2,2013-08-03,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
"28","Booted Racket-tail","Besleria solanoides","266",8,14,2,1,2013-08-03,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"29","Booted Racket-tail","Besleria solanoides","68",8,14,1,1,2014-09-10,"2100_2300",9,"2014",0.331,4232.5,3565,2097,1,3851,0,323.5,1,1,1
"30","Booted Racket-tail","Besleria solanoides","102",8,14,1,0,2014-12-02,"1900_2100",12,"2014",0.331,5234,4306.66666666667,3872,1,3851,1,323.5,1,1,1
"31","Booted Racket-tail","Besleria solanoides","68",8,14,2,0,2014-09-10,"2100_2300",9,"2014",0.331,4232.5,3565,2097,1,3851,0,323.5,1,1,1
"32","Booted Racket-tail","Besleria solanoides","109",8,14,2,0,2013-10-22,"1700_1900",10,"2013",0.331,12012.3194444444,11676.3194444444,6781.61111111111,1,3851,1,323.5,1,1,1
"33","Booted Racket-tail","Besleria solanoides","201",8,14,2,0,2014-09-10,"1900_2100",9,"2014",0.331,4232.5,3851,2318,1,3851,0,323.5,1,1,1
"34","Booted Racket-tail","Besleria solanoides","193",8,14,2,0,2015-04-28,"1900_2100",4,"2015",0.331,960,464,407,1,3851,0,323.5,1,1,1
"35","Booted Racket-tail","Besleria solanoides","120",8,14,1,3,2014-06-04,"1700_1900",6,"2014",0.331,1124,586,166,1,3851,0,323.5,0,1,1
"36","Booted Racket-tail","Besleria solanoides","266",8,14,1,2,2013-08-03,"1900_2100",8,"2013",0.331,7772.16666666667,3194.83333333333,0,1,3851,0,323.5,0,1,1
"37","Booted Racket-tail","Besleria solanoides","265",8,14,1,2,2013-08-04,"2100_2300",8,"2013",0.331,13105,7721.66666666667,0,1,3851,1,323.5,0,1,1
