"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
20,57,"Macho",13,16.88,8.43,6.75,19.92,78.42,2.25,28.49,87.66,7.75,3.07,0.21,0.25,19.86,47.06,14.2,6.68,4.26,0.34,0.66,0.3,0.83,1.17,0.1,0.99,2.1,0.33,0.08,0.01,0.04,1.18,0.99,0.37,0.15,0.25,183,598,1,"",NA,"Boissonneaua.flavescens"
21,59,"Macho",1,19.2,9.9,7.3,23.6,76.2,2.7,28.7,86.4,7.3,3.01,0.24,0.21,20.44,44.8,14.2,6.7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Boissonneaua.jardini"
22,62,"Macho",4,14.12,2.92,4.22,15.8,35.25,1.37,11.75,38.7,7.93,3.29,0.38,0.2,3.78,31.85,8.25,3.91,1.87,0.1,0.29,0.18,0.28,0.47,0.04,0.49,0.85,0.34,0.14,0.01,0.02,0.15,0.57,0.2,0.06,0.05,183,598,1,"",NA,"Calliphlox.mitchellii"
23,75,"Macho",7,23.97,7.37,7.07,27.78,68.65,2.63,25.85,76.51,7.28,2.96,0.22,0.23,16.08,42.32,11.75,6.17,2.84,0.34,1.07,0.34,1.23,1,0.18,0.66,1.29,0.19,0.05,0.01,0.03,0.21,1.68,0.31,0.16,0.12,183,598,1,"",NA,"Campylopterus.falcatus"
24,72,"Macho",4,25.25,9.12,6.92,28.65,72.82,2.85,29.32,85.12,6.38,2.9,0.2,0.09,22.75,49.05,11.8,6.37,2.8,0.68,1.39,0.25,1.77,0.97,0.26,0.78,0.51,0.31,0.06,0.00588318186152145,0.03,1.28,2.54,0.59,0.22,0.16,183,598,1,"",NA,"Campylopterus.largipennis"
25,90,"Macho",23,24.11,6.9,6.48,27.04,70.27,2.39,25.25,79.37,7.83,3.14,0.21,0.24,16.09,43.22,11.62,5.76,3.21,0.32,0.79,0.24,0.95,1.55,0.15,0.85,2.48,0.27,0.09,0.01,0.03,0.92,1.82,0.32,0.26,0.23,183,598,1,"",NA,"Chalybura.buffonii"
26,90,"Macho",14,25.92,7.21,6.65,28.76,71.82,2.4,25.19,79.61,7.52,3.16,0.21,0.19,16.86,45.47,11.74,5.79,3.43,0.29,1.06,0.26,1.25,2.1,0.08,0.95,2.21,0.25,0.1,0.01,0.03,0.9,2.28,0.22,0.23,0.18,183,598,1,"",NA,"Chalybura.buffonii"
27,91,"Macho",3,23.43,7.2,6.4,25.7,70.5,2.75,25.1,78.33,7.83,3.12,0.23,0.25,15.67,40.9,11.66,5.83,3.16,0.36,0.72,0.56,1.34,0.79,0.07,0.75,3.39,0.45,0.04,0.01,0.05,0.44,1.7,0.15,0.05,0.2,183,598,1,"",NA,"Chalybura.urochrysia"
28,89,"Macho",12,12.41,6.25,5.53,15.79,69.39,2.05,27.18,75.85,6.84,2.79,0.18,0.22,16.88,52.43,14.74,7.15,4.53,0.35,0.5,0.52,0.69,2.17,0.09,0.76,1.65,0.18,0.06,0.01,0.02,0.76,2.82,0.57,0.26,0.28,183,598,1,"",NA,"Chalcostigma.herrani"
29,88,"Macho",8,13.02,5.73,5.71,15.98,66.66,1.82,26.37,74.65,7.29,2.83,0.18,0.28,15.29,58.15,14.02,6.98,4.4,0.32,0.64,0.1,0.53,3.43,0.15,1.05,3.15,0.23,0.06,0.01,0.02,0.93,4.89,0.43,0.18,0.16,183,598,1,"",NA,"Chalcostigma.heteropogon"
