"","ID","Video","Date","Flower","Time","Hummingbird","Sex","Pierce","Comments","Temp","PhotoID","VideoClip","lon","lat","ele","name","link","sym","time","cmt","extensions","MonthID","Date_F","coords.x1","coords.x2","ele.nelly","Iplant_Double","Month","GPS.ID","TransectID","Transect_R","DateP"
"1","FH101","FH101_01","10/22/2013","Psammisia sodoroi","10:11:18","Gorgeted Sunangel","","",NA,NA,NA,NA,-78.586553,0.130527,2290,"FH101",NA,"Flag, Blue","2013-10-21T17:42:45Z",NA,NA,"10","2013-10-21",-78.586553,0.130527,NA,"Psammisia sodiroi",10,NA,NA,NA,2013-10-22
"2","FH102","FH202_02","11/6/2013","Meriania tomentosa","15:32:48","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"3","FH102","FH202_02","11/6/2013","Meriania tomentosa","13:18:29","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"4","FH102","FH202_02","11/6/2013","Meriania tomentosa","14:53:34","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"5","FH102","FH202_02","11/6/2013","Meriania tomentosa","15:32:11","Violet-tailed Sylph","F","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"6","FH102","FH202_02","11/6/2013","Meriania tomentosa","12:54:52","Collared Inca","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"7","FH102","FH202_02","11/6/2013","Meriania tomentosa","12:46:32","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"8","FH102","FH102_01","11/6/2013","Meriania tomentosa","9:24:18","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"9","FH102","FH202_02","11/6/2013","Meriania tomentosa","12:52:41","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"10","FH102","FH202_02","11/6/2013","Meriania tomentosa","17:40:43","Violet-tailed Sylph","F","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"11","FH102","FH102_01","11/6/2013","Meriania tomentosa","10:11:57","Violet-tailed Sylph","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"12","FH102","FH102_01","11/6/2013","Meriania tomentosa","8:06:27","Speckled Hummingbird","","",NA,NA,NA,NA,-78.581724,0.128751,2450,"FH102",NA,"Flag, Blue","2013-11-05T17:55:22Z",NA,NA,"11","2013-11-05",-78.581724,0.128751,NA,"Meriania tomentosa",11,NA,NA,NA,2013-11-06
"13","FH104","FH104_BU1","12/5/2013","Guzmania amplectans","6:16:07","Brown Inca","","",NA,NA,NA,NA,-78.598309,0.118284,1960,"FH104",NA,"Flag, Blue","2013-12-03T15:13:27Z",NA,NA,"12","2013-12-03",-78.598309,0.118284,NA,"Guzmania amplectens",12,NA,NA,NA,2013-12-05
"14","FH104","FH104_BU1","12/5/2013","Guzmania amplectans","6:03:36","Violet-tailed Sylph","F","",NA,NA,NA,NA,-78.598309,0.118284,1960,"FH104",NA,"Flag, Blue","2013-12-03T15:13:27Z",NA,NA,"12","2013-12-03",-78.598309,0.118284,NA,"Guzmania amplectens",12,NA,NA,NA,2013-12-05
"15","FH104","FH104_BU1","12/5/2013","Guzmania amplectans","6:59:15","Violet-tailed Sylph","F","",NA,NA,NA,NA,-78.598309,0.118284,1960,"FH104",NA,"Flag, Blue","2013-12-03T15:13:27Z",NA,NA,"12","2013-12-03",-78.598309,0.118284,NA,"Guzmania amplectens",12,NA,NA,NA,2013-12-05
"16","FH105","FH105_02","12/15/2013","Centropogon solanifolius","11:50:41","Tawny-bellied Hermit","","",NA,NA,NA,NA,-78.609013,0.118369,1900,"FH105",NA,"Flag, Blue","2013-12-14T22:06:29Z",NA,NA,"12","2013-12-14",-78.609013,0.118369,NA,"Centropogon solanifolius",12,NA,NA,NA,2013-12-15
"17","FH106","FH106_01","12/19/2013","Guzmania squarasso","9:44:53","Violet-tailed Sylph","F","",NA,NA,NA,NA,-78.5833,0.128519,2430,"FH106",NA,"Flag, Blue","2013-12-18T17:33:10Z",NA,NA,"12","2013-12-18",-78.5833,0.128519,NA,"Guzmania squarrosa",12,NA,NA,NA,2013-12-19
"18","FH106","FH106_01","12/19/2013","Guzmania squarasso","11:47:47","Gorgeted Sunangel","","",NA,NA,NA,NA,-78.5833,0.128519,2430,"FH106",NA,"Flag, Blue","2013-12-18T17:33:10Z",NA,NA,"12","2013-12-18",-78.5833,0.128519,NA,"Guzmania squarrosa",12,NA,NA,NA,2013-12-19
"19","FH106","FH106_01","12/19/2013","Guzmania squarasso","6:36:57","Speckled Hummingbird","","",NA,NA,NA,NA,-78.5833,0.128519,2430,"FH106",NA,"Flag, Blue","2013-12-18T17:33:10Z",NA,NA,"12","2013-12-18",-78.5833,0.128519,NA,"Guzmania squarrosa",12,NA,NA,NA,2013-12-19
"20","FH106","FH106_01","12/19/2013","Guzmania squarasso","6:51:07","Gorgeted Sunangel","","",NA,NA,NA,NA,-78.5833,0.128519,2430,"FH106",NA,"Flag, Blue","2013-12-18T17:33:10Z",NA,NA,"12","2013-12-18",-78.5833,0.128519,NA,"Guzmania squarrosa",12,NA,NA,NA,2013-12-19
