"","Violet-tailed Sylph","Tawny-bellied Hermit","Booted Racketail","Gorgeted Sunangel","Buff-tailed Coronet","Stripe-throated Hermit","White-whiskered Hermit","Brown Inca","Booted Racket-tail","Crowned Woodnymph","Rufous-tailed Hummingbird","Collared Inca","Green-crowned Brilliant","Speckled Hummingbird","Fawn-breasted Brilliant","Green-crowned Woodnymph","Wedge-billed Hummingbird"
"Burmeistera cylindrocarpa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea strigosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia collegarum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Heliconia impudica",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pitcairnia sodiroi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salvia quitensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bomarea multiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Columnea ciliata",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Columnea medicinalis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faramea calyptrata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Kohleria affinis",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Macleania stricta",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea mastersonii",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Columnea picta",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Besleria solanoides",0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Drymonia tenuis",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"Psammisia ulbrichiana",1,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0
"Centropogon solanifolius",1,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"Palicourea lineata",1,0,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",5,2,15,0,1,3,3,0,0,4,4,0,0,0,0,1,1
