"","Booted Racketail","Sparkling Violetear","Buff-tailed Coronet","Violet-tailed Sylph","Gorgeted Sunangel","Tawny-bellied Hermit","Brown Inca","Collared Inca","Speckled Hummingbird","Green Violetear","Hoary Puffleg"
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",0,0,0,0,0,1,0,0,0,0,0
"Macleania bullata",0,0,0,0,0,0,0,1,0,0,0
"Macleania macrantha",0,0,1,0,0,0,0,0,0,0,0
"Tillandsia complanata",0,0,0,0,1,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,0,0,2,0,0,0,0,0
"Macleania stricta",0,0,0,0,0,0,1,1,0,0,0
"Centropogon solanifolius",0,0,0,0,0,3,0,0,0,0,0
"Gasteranthus quitensis",0,0,0,1,0,0,1,0,1,0,0
"Mezobromelia capituligera",0,0,0,0,0,0,2,1,0,0,0
"Psammisia sodiroi",0,0,0,0,3,0,0,0,0,0,0
"Meriania tomentosa",1,0,15,1,3,0,0,1,0,0,1
"Sarcopera anomala",9,17,0,3,0,0,0,0,0,1,0
"Besleria solanoides",26,0,0,4,1,1,1,0,1,0,0
