"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",1,0.125,1,0,0.714285714285714,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0277777777777778,0.178007514685029,1
"Heliconia griggsiana",1,0.125,0.0666666666666667,-0.933333333333333,0.857142857142857,1,1,1,1,2,0,0,0.150306748466258,0.0350672121566335,1677720700.50048,0,1,0.416666666666667,0.178007514685029,0
"Pitcairnia nigra",1,0.125,0.2,-0.8,1,1,1,1,1,3,0,0,0.0950920245398773,0.0193965517241379,1677720700.50048,0,1,0.138888888888889,0.178007514685029,0.405683871082213
"Gasteranthus quitensis",2,0.25,0.666666666666667,-0.166666666666667,0.428571428571429,0.857142857142857,0.654653670707977,0.857142857142857,1,1.66666666666667,0.363636363636364,0.363636363636364,0.147239263803681,0.0428061831153389,2941562359.8741,0.693147180559945,2,0.222222222222222,0.356015029370058,0.447775165653702
"Centropogon solanifolius",1,0.125,0.333333333333333,-0.666666666666667,0.571428571428571,1,1,1,1,2,0,0,0.150306748466258,0.0766283524904215,0.375882883682592,0,1,0.416666666666667,0.178007514685029,0.356001298395022
"Palicourea demissa",3,0.375,2.3,0.433333333333333,0.142857142857143,0.892857142857143,0.589015089373952,0.714285714285714,1,2.16666666666667,0.227272727272727,0.227272727272727,0.128834355828221,0.0302775441547519,1.98881626927183,0.955699891112534,2.60049000598966,0.25,0.462906762929475,0.841764437766489
"Columnea strigosa",2,0.25,1.4,0.2,0.285714285714286,0.928571428571429,0.701472374412202,0.857142857142857,1,2,0,0,0.150306748466258,0.0806090461262875,0.79721883436573,0.636514168294813,1.88988157484231,0.5,0.336413122186708,0.518061530600682
"Columnea ciliata",3,0.375,2.03333333333333,0.344444444444444,0,0.857142857142857,0.539841246505462,0.714285714285714,1,1.5,0.409090909090909,0.409090909090909,0.177914110429448,0.0806090461262875,1.45308990103431,1.02965301406457,2.80009407285383,0.522222222222222,0.498437786792991,0.516282765372252
