"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Macleania bullata",1,0.125,0.5,-0.5,1,1,1,1,1,2,0,0,0.159090909090909,0.0438329477657372,1677720700.50048,0,1,0.0555555555555556,0.200827460131085,0.744041975190184
"Columnea mastersonii",2,0.25,2,0.5,0.6,0.857142857142857,0.654653670707977,0.857142857142857,1,NA,0,0,0,NA,2941562359.8741,0.693147180559945,2,0.0555555555555556,0.401654920262171,1
"Psammisia sodiroi",2,0.25,0.566666666666667,-0.216666666666667,0.8,0.857142857142857,0.654653670707977,0.857142857142857,1,1.25,0.5,0.5,0.238636363636364,0.0465116279069767,2941562359.8741,0.693147180559945,2,0.472222222222222,0.401654920262171,0.306624493980965
"Meriania tomentosa",3,0.375,2.5,0.5,0.2,0.942857142857143,0.697768203970562,0.714285714285714,1,2,0,0,0.159090909090909,0.0290697674418605,1.98881626927183,0.796311640173813,2.21734745227321,0.222222222222222,0.445304257068162,0.931635909397941
"Sarcopera anomala",2,0.25,1,0,0.4,0.880952380952381,0.658250695972685,0.857142857142857,1,1.5,0,0,0.204545454545455,0.0900753357353423,0.715316431468451,0.689009238476659,1.99174121480513,0.666666666666667,0.399996329407717,0.328416424679227
"Besleria solanoides",3,0.375,1.43333333333333,0.144444444444444,0,0.936507936507937,0.687406337276194,0.714285714285714,1,1.25,0.5,0.5,0.238636363636364,0.100868590641636,1.22254603174132,0.79026796807459,2.20398694527043,0.702991452991453,0.442621100380729,0.285207464071568
