"","Buff-tailed Coronet","Tawny-bellied Hermit","Gorgeted Sunangel","Green-crowned Brilliant","Violet-tailed Sylph","Booted Racketail","Collared Inca","Fawn-breasted Brilliant"
"Burmeistera cylindrocarpa",0,0,1,0,0,0,0,0
"Columnea mastersonii",0,1,0,0,0,0,0,0
"Columnea medicinalis",0,1,0,0,0,0,0,0
"Drymonia tenuis",0,0,1,0,0,0,0,0
"Meriania tomentosa",1,0,0,0,0,0,0,0
"Pitcairnia sodiroi",0,1,0,0,0,0,0,0
"Faramea calyptrata",1,0,0,0,0,0,0,1
"Palicourea demissa",1,0,0,0,1,0,0,0
"Palicourea lineata",2,0,0,0,0,1,0,0
"Centropogon solanifolius",0,1,0,2,1,0,1,0
