"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Andean Emerald",1,0.125,0.266666666666667,-0.733333333333333,0.25,1,1,1,0.266666666666667,1.14285714285714,0,0,0.118181818181818,0.128937728937729,0.301670201268593,0,1,0.31416178013852,0.681818181818182,0.129101264179205
"Booted Racketail",3,0.375,2.33333333333333,0.444444444444444,0,0.942857142857143,0.714285714285714,0.697768203970562,0.80952380952381,1,0.142857142857143,0.142857142857143,0.0363636363636364,NA,1.98881626927183,0.796311640173813,2.21734745227321,0.696605822791764,0.204545454545455,0.859826980656501
"White-whiskered Hermit",2,0.25,0.7,-0.15,0.0833333333333333,0.976190476190476,0.857142857142857,0.848596852501706,0.242857142857143,1,0.857142857142857,0.857142857142857,0.127272727272727,0.120879120879121,0.935412999044635,0.410116318288409,1.50699306577254,0.473439624199507,0.727272727272727,0.0959621904865769
"Brown Inca",1,0.125,0.2,-0.8,0.333333333333333,1,1,1,0.2,1.14285714285714,0,0,0.118181818181818,0.111580726965342,0.34265736795781,0,1,0.31416178013852,0.681818181818182,0.101755598296073
"Tawny-bellied Hermit",2,0.25,1.13333333333333,0.0666666666666667,0.166666666666667,0.964285714285714,0.857142857142857,0.796420563700935,0.306666666666667,1.14285714285714,0,0,0.118181818181818,0.0879120879120879,1.23549253245909,0.500402423538188,1.64938488846612,0.51817369269409,0.704545454545454,0.181879189093619
"Stripe-throated Hermit",1,0.125,0.133333333333333,-0.866666666666667,0.416666666666667,1,1,1,0.133333333333333,1.14285714285714,0,0,0.118181818181818,0.0879120879120879,0.427945957592403,0,1,0.31416178013852,0.681818181818182,0.0735561332513155
"Buff-tailed Coronet",1,0.125,0.5,-0.5,0.5,1,1,1,0.5,1.5,0,0,0.0272727272727273,NA,1677720700.50048,0,1,0.31416178013852,0.0454545454545455,0.796204952909494
"Crowned Woodnymph",1,0.125,1,0,0.583333333333333,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.31416178013852,0.0227272727272727,1
"Green-crowned Brilliant",1,0.125,0.0333333333333333,-0.966666666666667,0.666666666666667,1,1,1,0.0333333333333333,1.14285714285714,0,0,0.118181818181818,0.0302197802197802,1677720700.50048,0,1,0.31416178013852,0.681818181818182,0
"Green-crowned Woodnymph",1,0.125,0.5,-0.5,0.75,1,1,1,0.5,1.85714285714286,0,0,0.0727272727272727,0.0302197802197802,1677720700.50048,0,1,0.31416178013852,0.0454545454545455,0.796204952909494
"Sparkling Violetear",1,0.125,0.166666666666667,-0.833333333333333,0.833333333333333,1,1,1,0.166666666666667,1.5,0,0,0.0272727272727273,NA,1677720700.50048,0,1,0.31416178013852,0.136363636363636,0.473197445438339
"Violet-tailed Sylph",1,0.125,1,0,0.916666666666667,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.31416178013852,0.0227272727272727,1
"Wedge-billed Hummingbird",1,0.125,0.0333333333333333,-0.966666666666667,1,1,1,1,0.0333333333333333,1.14285714285714,0,0,0.118181818181818,0.0302197802197802,1677720700.50048,0,1,0.31416178013852,0.681818181818182,0
