"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Violet-tailed Sylph",1,0.2,0.888888888888889,-0.111111111111111,0.2,1,1,1,0.888888888888889,1,0,0,0.25,1.77777777777778,0.301670201268593,0,1,0.284620676883885,0.45,0.855721644323755
"Booted Racketail",1,0.2,0.571428571428571,-0.428571428571429,0.4,1,1,1,0.571428571428571,1,0,0,0.25,NA,0.427945957592403,0,1,0.284620676883885,0.35,0.603616244100634
"Crowned Woodnymph",1,0.2,0.428571428571429,-0.571428571428571,0.6,1,1,1,0.428571428571429,1,0,0,0.25,NA,0.525261466517939,0,1,0.284620676883885,0.35,0.486907497053614
"Tawny-bellied Hermit",2,0.4,2,0.5,0,0.875,0.75,0.666666666666667,1,NA,0,0,0,NA,2.62230229845195,0.636514168294813,1.88988157484231,0.537899373062001,0.15,1
"Brown Inca",1,0.2,0.111111111111111,-0.888888888888889,0.8,1,1,1,0.111111111111111,1,0,0,0.25,0.222222222222222,1677720700.50048,0,1,0.284620676883885,0.45,0
"Stripe-throated Hermit",1,0.2,1,0,1,1,1,1,1,NA,0,NA,0,NA,1677720700.50048,0,1,0.284620676883885,0.05,1
