"","Violet-tailed Sylph","Brown Inca","Booted Racketail","Buff-tailed Coronet","Collared Inca","Crowned Woodnymph","Fawn-breasted Brilliant","Gorgeted Sunangel","Green-crowned Brilliant","Green-fronted Lancebill","Tawny-bellied Hermit"
"Bomarea pardina",0,0,0,0,0,0,1,0,0,0,0
"Macleania bullata",0,1,0,0,0,0,0,0,0,0,0
"Psammisia aberrans",0,1,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",0,1,0,0,0,0,0,0,0,0,0
"Sarcopera anomala",0,0,2,0,0,0,0,0,0,0,0
"Besleria solanoides",2,0,1,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",1,0,2,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",3,0,0,0,0,0,0,0,0,0,1
"Palicourea demissa",0,0,4,0,0,2,0,0,0,0,0
"Meriania tomentosa",1,0,0,5,0,0,0,1,0,0,0
"Mezobromelia capituligera",4,7,0,0,3,0,0,0,1,1,0
