"","Brown Inca","Violet-tailed Sylph","Speckled Hummingbird","Booted Racketail","Tawny-bellied Hermit","Buff-tailed Coronet","Sparkling Violetear","Hoary Puffleg","Gorgeted Sunangel","Green-fronted Lancebill","Collared Inca","Fawn-breasted Brilliant","Purple-bibbed Whitetip","Stripe-throated Hermit"
"Columnea medicinalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Columnea picta",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Besleria solanoides",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Glossoloma oblongicalyx",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Macleania bullata",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",0,1,0,0,1,0,0,0,0,0,0,0,0,1
"Palicourea acetosoides",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Guzmania amplectens",5,0,0,0,1,0,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",3,5,0,0,0,0,0,0,0,0,0,0,0,0
"Sarcopera anomala",0,0,0,6,0,0,7,0,0,0,0,1,0,0
"Bomarea pardina",12,0,0,0,4,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,4,5,0,0,0,0,6,1,0,0,0,0,0
"Meriania tomentosa",0,5,7,1,0,7,0,0,1,0,1,0,0,0
