"","Violet-tailed Sylph","Sparkling Violetear","Buff-tailed Coronet","Booted Racketail","Speckled Hummingbird","Booted Racket-tail","Gorgeted Sunangel","Brown Inca","Stripe-throated Hermit","Collared Inca","Purple-bibbed Whitetip","Tawny-bellied Hermit","Fawn-breasted Brilliant"
"Centropogon solanifolius",0,0,0,0,0,0,0,0,0,0,0,1,0
"Mezobromelia capituligera",0,0,0,0,0,0,0,0,0,0,1,0,0
"Psammisia ulbrichiana",1,0,0,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,0,0,0,0,1,0,0,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,0,2,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,2,0,0,0,0
"Gasteranthus quitensis",0,0,0,0,2,0,0,0,1,0,0,0,0
"Palicourea demissa",0,0,0,1,0,1,0,0,2,0,0,0,0
"Psammisia ecuadorensis",0,0,0,0,0,0,0,6,0,0,0,0,0
"Macleania stricta",1,0,0,0,0,0,3,0,0,2,1,0,0
"Guzmania squarrosa",3,0,0,0,5,0,0,0,0,1,0,0,0
"Psammisia sodiroi",4,0,0,0,4,0,2,0,0,0,0,0,0
"Meriania tomentosa",2,0,13,1,0,0,3,0,0,0,0,0,0
"Besleria solanoides",8,0,0,3,0,9,0,0,0,0,1,0,0
"Sarcopera anomala",0,17,0,7,0,0,0,0,0,0,0,0,1
