"","Booted Racketail","Buff-tailed Coronet","Violet-tailed Sylph","Tawny-bellied Hermit","Brown Inca","Gorgeted Sunangel","Purple-bibbed Whitetip","Crowned Woodnymph","Sparkling Violetear"
"Burmeistera cylindrocarpa",0,0,0,0,1,0,0,0,0
"Columnea mastersonii",0,0,0,1,0,0,0,0,0
"Columnea medicinalis",0,0,0,1,0,0,0,0,0
"Heppiella ulmifolia",0,1,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,0,0,0,1,0
"Macleania stricta",0,0,0,0,0,1,0,0,0
"Palicourea sodiroi",1,0,0,0,0,0,0,0,0
"Drymonia teuscheri",1,0,0,1,0,0,0,0,0
"Palicourea demissa",0,0,2,0,1,0,0,0,0
"Tillandsia complanata",1,0,1,0,1,0,0,0,0
"Sarcopera anomala",1,1,2,0,0,0,2,0,0
"Meriania tomentosa",0,6,1,0,0,1,0,0,0
"Besleria solanoides",25,1,3,1,0,0,0,0,1
