"","Booted Racketail","Buff-tailed Coronet","Sparkling Violetear","Gorgeted Sunangel","Violet-tailed Sylph","Brown Inca","Collared Inca","Tawny-bellied Hermit","Green Violetear","Hoary Puffleg","Speckled Hummingbird"
"Glossoloma oblongicalyx",0,0,0,0,0,0,0,1,0,0,0
"Macleania bullata",0,0,0,0,0,0,1,0,0,0,0
"Macleania macrantha",0,1,0,0,0,0,0,0,0,0,0
"Tillandsia complanata",0,0,0,1,0,0,0,0,0,0,0
"Macleania stricta",0,0,0,0,0,1,1,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,0,2,1,0,0,0,0
"Psammisia sodiroi",0,0,0,3,0,0,0,0,0,0,0
"Meriania tomentosa",1,14,0,3,1,0,1,0,0,1,0
"Sarcopera anomala",7,0,12,0,3,0,0,0,1,0,0
"Besleria solanoides",23,0,0,1,4,1,0,1,0,0,1
