"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Glossoloma oblongicalyx",1,0.0909090909090909,0.5,-0.5,0.666666666666667,1,1,1,1,2.11111111111111,0,0,0.0748663101604278,0.0199937262484509,1677720700.50048,0,1,0.0229885057471264,0.148552516240493,0.7981509134179
"Macleania bullata",1,0.0909090909090909,0.25,-0.75,0.777777777777778,1,1,1,1,1.77777777777778,0,0,0.0935828877005348,0.022768333544709,1677720700.50048,0,1,0.0459770114942529,0.148552516240493,0.5963018268358
"Macleania macrantha",1,0.0909090909090909,0.0666666666666667,-0.933333333333333,0.888888888888889,1,1,1,1,2,0,0,0.0775401069518716,0.018106695379067,1677720700.50048,0,1,0.172413793103448,0.148552516240493,0.211397701900224
"Tillandsia complanata",1,0.0909090909090909,0.125,-0.875,1,1,1,1,1,1.66666666666667,0,0,0.0962566844919786,0.0197576751918344,1677720700.50048,0,1,0.0919540229885057,0.148552516240493,0.394452740253701
"Macleania stricta",2,0.181818181818182,0.5,-0.25,0.444444444444444,0.9,0.670820393249937,0.9,1,1.55555555555556,0.0229885057471264,0,0.10427807486631,0.025205787995762,2941562359.8741,0.693147180559945,2,0.0919540229885057,0.297105032480986,0.548588108610739
"Mezobromelia capituligera",2,0.181818181818182,0.75,-0.125,0.333333333333333,0.95,0.71492035298424,0.9,1,1.55555555555556,0.0229885057471264,0.0212765957446809,0.10427807486631,0.0383617870593807,2.62230229845195,0.636514168294813,1.88988157484231,0.0919540229885057,0.280746663339371,0.678612877927241
"Psammisia sodiroi",1,0.0909090909090909,0.375,-0.625,0.555555555555556,1,1,1,1,1.66666666666667,0,0,0.0962566844919786,0.0364344177802529,0.525261466517939,0,1,0.0919540229885057,0.148552516240493,0.658918877861304
"Meriania tomentosa",6,0.545454545454545,2.71559139784946,0.285931899641577,0.111111111111111,0.95,0.649087969957666,0.5,1,1.11111111111111,0.540229885057471,0.539007092198582,0.136363636363636,0.0481835222834627,2.80621793483194,1.12820627197971,3.09010871141876,0.417077175697865,0.459043424537924,0.625671852024873
"Sarcopera anomala",4,0.363636363636364,2.6008064516129,0.400201612903226,0.222222222222222,0.908333333333333,0.56755369989846,0.7,1,1.77777777777778,0,0,0.0882352941176471,0.045936223993778,1.39928759310703,1.10349040258795,3.01467009386329,0.545727136431784,0.447836828078355,0.548493643429936
"Besleria solanoides",6,0.545454545454545,3.11693548387097,0.352822580645161,0,0.965217391304348,0.726916713543388,0.5,1,1.22222222222222,0.413793103448276,0.439716312056738,0.128342245989305,0.0522826598534257,2.21631978597894,0.928776094457727,2.53140907529162,0.547274749721913,0.376047187768589,0.549711218352515
